x,y,z,d_x,d_y,d_z,fi,thetta,psi,d_fi,d_thetta,d_psi,Outcome
-0.0000436,-0.000178498,-0.000000853,0.0000439,0.000179394,0.00000609,-0.0000182,0.00000445,-0.0000344,0.0000183,-0.00000447,0.0000361,0
-0.110162932,-0.096614771,-0.105129394,-0.064434029,-0.167005738,-0.08761759,-0.098391379,-0.106327374,-0.107473719,0.851330594,0.363,-0.067916607,1
-0.095329088,-0.138419605,-0.109248473,-0.00842592,-0.113839355,-0.05406251,-0.044755094,-0.066786451,-0.104042393,0.256112651,0.12509515,-0.032683407,1
-0.111484327,-0.102171741,-0.107513688,-0.034207481,-0.193540684,-0.07549695,-0.074115807,-0.095515068,-0.109110079,0.786031289,0.358,-0.048138765,1
-0.001286893,-0.076535722,-0.029015347,0.176885477,0.006594723,0.141945292,0.105397747,0.069049262,0.007678671,0.288711178,0.237737888,0.121592689,1
-0.111102182,-0.112632155,-0.110892628,0.0163,-0.229,-0.0542,-0.032090209,-0.075131153,-0.110284938,0.631,0.327,-0.016,1
-0.000000209,-0.000000856,1.51E-08,0.00000021,0.00000086,-1.98E-08,-8.73E-08,2.13E-08,-0.000000131,8.77E-08,-2.14E-08,0.000000137,0
-0.005836288,-0.024012512,-0.009948857,0.00584136,0.024260142,0.013253202,-0.002477368,0.000600341,-0.005705941,0.002436038,-0.000664016,0.005983445,0
0.260730935,0.218735391,0.248761684,1.720211078,1.648148501,1.6813756,0.353714803,0.308314672,0.255279013,-0.297728676,0.81604986,1.68186645,1
-0.111101844,-0.112630755,-0.110892664,0.0163,-0.229,-0.0542,-0.032090066,-0.075131187,-0.110284707,0.631,0.327,-0.016,1
-0.105561481,-0.088299422,-0.100062889,-0.122127469,-0.107087431,-0.11009204,-0.141901523,-0.124092831,-0.103081121,0.8653217,0.323,-0.107194888,1
-0.200618989,-0.203934018,-0.198756219,3.436713501,2.949476835,3.303533209,-0.052058204,-0.131007621,-0.196935128,5.100640353,4.2517545,3.379101866,1
0.243527986,0.202250406,0.231948028,1.735588388,1.599120331,1.67866736,0.356691733,0.300154259,0.238459743,-0.11626679,0.915033143,1.689285845,1
-0.102576432,-0.084577415,-0.097599665,-0.148,-0.0785,-0.12,-0.158727884,-0.130349407,-0.100478195,0.784,0.265,-0.126,1
0.29464179,0.253152926,0.282455875,1.687135243,1.745204844,1.685694406,0.343610414,0.322232757,0.288682462,-0.565466381,0.659732605,1.666228462,1
0.229660464,0.211131386,0.223900082,-1.894307866,-1.416884164,-1.765570529,0.100762979,0.174063767,0.225439475,-3.747039967,-2.795810808,-1.843362659,1
0.111351924,0.105860032,0.109163124,0.00775,0.216,0.0648,0.051796656,0.085109446,0.109651668,-0.709,-0.344,0.0313,1
-0.150270074,-0.745772797,-0.45513774,0.219337382,0.762074419,0.408224106,-0.033041515,0.054012343,-0.18206802,-0.181505203,-0.129295286,0.185872627,0
-0.00040993,-0.001676855,-0.000203003,0.000411988,0.001685558,0.000337052,-0.000170967,0.0000418,-0.000355812,0.000171556,-0.0000422,0.00037312,0
-0.203713778,-0.165806275,-0.193445987,-3.736168109,-3.474922209,-3.645112668,-0.35181501,-0.275716207,-0.19964455,-2.343763515,-3.139923034,-3.675978277,1
-0.9000504,-1.219795566,-1.020255762,0.835737592,-0.633119261,0.265706737,0.025957263,-0.197142732,-0.562451887,1.917598853,1.354307128,0.193243858,1
-0.159727449,-0.141614578,-0.158676772,-0.251888165,-0.086946357,-0.18739492,-0.257111534,-0.205989681,-0.160670216,0.888509887,0.242656043,-0.204001283,1
-0.36565527,-1.123021958,-0.69509952,0.671907927,0.525747174,0.500395712,0.148828471,0.113801167,-0.304217184,-0.454900855,-0.011179826,0.287642134,0
-0.000153875,-0.000629271,-0.0000354,0.000154631,0.000632439,0.0000701,-0.0000642,0.0000157,-0.000128007,0.0000645,-0.0000157,0.000134234,0
-0.110153003,-0.096106074,-0.105555189,-0.0546,-0.178945745,-0.0841,-0.089842047,-0.10275602,-0.10758057,0.832,0.363,-0.0616,1
0.046601503,0.125810558,0.062583684,-0.204203702,0.172941038,-0.051409923,-0.122912613,-0.040486766,0.055535206,-0.405828915,-0.344768066,-0.109760559,1
-0.314417089,-0.278127027,-0.302569679,-0.241786559,-0.428309368,-0.278899984,-0.315665953,-0.319444931,-0.308271505,2.15747525,0.868515682,-0.239974456,1
